ALARM_STATUS,MACH_XCOR,MACH_YCOR,MACH_ZCOR,ABS_XCOR,ABS_YCOR,ABS_ZCOR,RELV_XCOR,RELV_YCOR,RELV_ZCOR,DIST_XCOR,DIST_YCOR,DIST_ZCOR,START_TIME,WORK_ONCE_TIME,WORK_ALL_TIME,WORK_NUM,CUT_TIME,PRG_NAME,FEED_SPEED,SPD_SPEED,FEDSPD_RATE
无报警,-447.216,-561.537,1896669.5,13.12,-11.092,1896669.5,-447.204,-561.504,1896669.5,0,-2.828,1896669.5,389139,1,144675,108,118556,150,50,499,155
无报警,-412.055,-169.283,-311.44,-2.787,18.986,-4,-16.533,-169.279,-93.73,0.216,2.809,0,723974,1,22859,69276,279169,30,100,2000,155
无报警,545.634,0,-77.21,0.165,409.1,100,0.165,409.1,90,0,0,0,741069,0,381390,26356,331221,30,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520945,0,199081,37235,224570,32,0,0,185
无报警,-448.858,-412.558,0,14,100,0,-448.846,-412.551,0,0,0,0,389147,1,144677,110,118558,150,0,0,155
无报警,-423.336,-202.8,-17.9,-60.1,-14.44,340.38,-60.1,-14.44,330.41,0,0,0,535081,0,105352,22128,235256,9001,0,0,175
无报警,553.409,0,-77.02,0.165,408.79,100,0.165,408.79,90,0,0,0,741077,0,381390,26357,331222,30,0,0,185
无报警,391.437,-283.25,-400.454,31.241,65.6,14.746,32.414,65.6,1.046,65.339,0,0,805691,102,300475,30589,325899,100,2200,4499,155
无报警,-395.522,0,-217.7,13.74,188.322,89.74,0,0.004,0.01,0,0,0,723981,8,22866,69277,279175,30,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,137.98,-508.919,-408.72,-243,-127.499,1.68,-243,-127.499,-10.02,0,0,0,806058,7,300601,30592,326016,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,205.066,-508.919,-410.3,-176.767,-127.499,0.1,-176.767,-127.499,-11.6,378.061,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,279.306,-508.919,-410.3,-103.381,-127.499,0.1,-102.527,-127.499,-11.6,303.821,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,352.693,-508.919,-410.3,-29.994,-127.499,0.1,-29.141,-127.499,-11.6,231.287,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,426.079,-508.919,-410.3,43.393,-127.499,0.1,44.246,-127.499,-11.6,157.047,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,501.173,-508.919,-410.3,118.486,-127.499,0.1,119.339,-127.499,-11.6,82.807,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945803,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,572.853,-508.919,-410.3,191.019,-127.499,0.1,191.873,-127.499,-11.6,10.274,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,710.326,-50.4,-254.54,206.1,216.59,100,206.1,216.59,90,0,0,0,741448,0,381418,26404,331230,10,0,0,155
无报警,555.927,-333.226,-395.047,174.947,50.327,15.354,174.947,49.26,3.654,0,-178.463,-0.101,806075,25,300619,30592,326033,100,2000,4999,155
无报警,-409.062,-188.315,-274.36,0,0,18.4,0,0,8.4,0,0,0,724354,0,23062,69301,279359,9001,0,0,185
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945821,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535450,84,105453,22130,235347,31,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,203.567,-301.6,-403.5,-177.946,79.82,6.9,-177.413,79.82,-4.8,4.78,0,0,806137,87,300681,30592,326091,100,207,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,-303.24,-5.005,-441.082,180.457,227.395,35.418,181.108,227.395,-15.922,49.24,0,0,945883,49,358886,56393,320832,30,1222,4001,155
无报警,201.493,-292.684,-403.5,-178.42,88.736,6.9,-178.954,88.736,-4.8,-1.13,2.972,0,806138,87,300681,30592,326091,100,280,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,-258.428,-5.029,-440.985,227.875,227.371,35.515,227.223,227.371,-15.825,-456.92,0,0,945883,49,358886,56393,320832,30,1222,4001,155
无报警,208.88,-282.898,-403.5,-172.1,97.742,6.9,-172.1,98.034,-4.8,0,2.102,0,806138,87,300681,30592,326091,100,1000,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,-313.826,-5.029,-440.985,172.478,227.371,35.515,171.826,227.371,-15.825,-401.523,0,0,945883,49,358886,56393,320832,30,1222,4001,155
无报警,201.862,-271.88,-403.5,-180.184,109.54,6.9,-179.651,109.54,-4.8,7.018,0,0,806138,87,300681,30592,326091,100,996,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,-369.875,-5.029,-440.985,116.429,227.371,35.515,115.777,227.371,-15.825,-346.125,0,0,945883,49,358886,56393,320832,30,1222,4001,155
无报警,203.726,-262.964,-403.5,-176.187,118.456,6.9,-176.72,118.456,-4.8,-3.363,0,0,806138,87,300682,30592,326091,100,945,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,-426.576,-5.029,-440.985,59.728,227.371,35.515,59.076,227.371,-15.825,-288.773,0,0,945883,49,358886,56393,320832,30,1222,4001,155
无报警,200.722,-272.29,-403.5,-180.258,110.73,6.9,-180.258,109.663,-4.8,0.007,-20.346,0,806138,87,300682,30592,326092,100,1000,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535512,84,105453,22130,235347,31,0,0,155
无报警,-482.625,-5.029,-440.985,3.027,227.371,35.515,3.027,227.371,-15.825,-232.724,0,0,945883,49,358886,56393,320832,30,1222,4001,155
无报警,199.73,-317.002,-403.5,-181.25,65.485,6.9,-181.25,64.952,-4.8,0,-12.885,0,806138,87,300682,30592,326092,100,1000,4999,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-293.663,-5.755,-438.074,192.64,226.645,38.426,191.989,226.645,-12.914,-421.685,0,0,945895,61,358897,56393,320843,30,1222,4001,155
无报警,492.98,-262.77,-379.818,113.173,118.65,30.582,112,118.65,18.882,-267.726,0,-0.17,806149,98,300693,30592,326102,100,2200,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-349.06,-5.755,-438.074,137.243,226.645,38.426,136.591,226.645,-12.914,-366.94,0,0,945895,61,358897,56393,320843,30,1222,4001,155
无报警,390.9,-262.77,-379.883,12.266,118.65,30.518,11.093,118.65,18.818,-165.646,0,-0.105,806149,99,300693,30592,326102,100,2200,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-405.109,-5.755,-438.074,81.194,226.645,38.426,80.542,226.645,-12.914,-310.239,0,0,945895,61,358897,56393,320843,30,1222,4001,155
无报警,289.993,-262.77,-379.947,-88.64,118.65,30.454,-89.813,118.65,18.754,-64.74,0,-0.041,806149,99,300693,30592,326102,100,2200,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-461.159,-5.755,-438.074,25.145,226.645,38.426,24.493,226.645,-12.914,-254.19,0,0,945895,61,358898,56393,320843,30,1222,4001,155
无报警,224.08,-292.82,-380.008,-156.9,89.773,30.393,-156.9,88.6,18.692,0,-206.076,-0.131,806149,99,300693,30592,326102,100,2200,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-517.208,-5.755,-438.074,-31.556,226.645,38.426,-32.208,226.645,-12.914,-198.141,0,0,945895,61,358898,56393,320843,30,1222,4001,155
无报警,224.08,-394.9,-380.073,-156.9,-11.134,30.328,-156.9,-12.307,18.628,0,-103.996,-0.066,806149,99,300693,30592,326102,100,2200,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-573.908,-5.755,-438.074,-87.605,226.645,38.426,-88.257,226.645,-12.914,-141.44,0,0,945895,61,358898,56393,320843,30,1222,4001,155
无报警,224.08,-496.98,-380.138,-156.9,-113.213,30.263,-156.9,-114.387,18.563,313.8,-3.09,-0.201,806149,99,300693,30592,326102,100,2200,4498,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-629.957,-5.755,-438.074,-143.654,226.645,38.426,-144.306,226.645,-12.914,-85.391,0,0,945895,61,358898,56393,320844,30,1222,4001,155
无报警,318.15,-500.07,-380.2,-65.176,-118.65,30.202,-64.003,-118.65,18.501,218.556,0,-0.139,806149,99,300693,30592,326102,100,2200,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,-686.007,-5.755,-438.074,-200.355,226.645,38.426,-200.355,226.645,-12.914,-29.342,0,0,945895,61,358898,56393,320844,30,1222,4001,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535524,84,105453,22130,235347,31,0,0,155
无报警,420.23,-500.07,-380.264,36.903,-118.65,30.137,38.077,-118.65,18.436,117.65,0,-0.075,806149,99,300693,30592,326102,100,2200,4499,155
无报警,391.107,-499.15,-412.81,12.26,-117.73,-2.41,11.193,-117.73,-14.11,-160.56,0,0,806196,145,300740,30592,326146,100,2000,4999,155
无报警,-401.193,-377.53,-507.548,85.087,-145.13,-31.048,83.807,-145.13,-13.478,-214.827,0,-0.015,945942,106,358943,56393,320888,30,2400,4999,135
无报警,298.307,-499.15,-412.81,-80.54,-117.73,-2.41,-81.607,-117.73,-14.11,-68.827,0,0,806196,145,300740,30592,326146,100,2000,4999,155
无报警,-511.273,-377.53,-507.556,-23.713,-145.13,-31.056,-24.993,-145.13,-13.486,-104.747,0,-0.008,945942,106,358943,56393,320888,30,2400,4999,135
无报警,225,-479.867,-412.81,-155.98,-99.514,-2.41,-155.98,-99.514,-14.11,0,210.63,0,806196,146,300740,30592,326146,100,2000,4999,155
无报警,-448.858,-412.558,0,14,100,0,-448.846,-412.551,0,0,0,539099.1,389096,1,144657,98,118542,150,0,0,155
无报警,-448.858,-412.558,277753.03,14,100,277753.03,-448.846,-412.551,277753.03,0,0,0,389096,1,144657,98,118542,150,0,0,155
无报警,-284.578,0,-363.635,115.5,197.89,120.923,-0.001,129.601,-359.17,0,0,0,520902,102,199080,37235,224570,32,0,0,185
无报警,555.719,0,-76.99,0.165,409.07,100,-7.335,401.61,90,0,0,0,741026,0,381383,26349,331218,30,0,0,155
无报警,-448.858,-412.558,0,14,100,0,-448.846,-412.551,0,0,0,0,389096,1,144657,98,118542,150,0,0,155
无报警,-396.195,-189.053,-319.538,13.014,-0.726,-12.097,-0.726,-189.043,-101.827,0.302,0.115,-0.004,723930,7,22831,69272,279141,30,100,5001,155
无报警,-284.578,0,-363.635,115.5,197.89,120.923,-0.001,129.601,-359.17,0,0,0,520902,102,199080,37235,224570,32,0,0,185
无报警,555.719,0,-76.99,0.165,409.07,100,-7.335,401.61,90,0,0,0,741026,0,381383,26349,331218,30,0,0,155
无报警,-396.319,-189.038,-319.587,12.89,-0.711,-12.146,-0.797,-189.034,-101.877,0.093,-0.011,-0.001,723930,7,22831,69272,279142,30,100,5001,155
无报警,-448.858,-412.558,277753.03,14,100,277753.03,-448.846,-412.551,277753.03,0,0,0,389096,1,144657,98,118542,150,0,0,155
无报警,-284.578,0,-363.635,115.5,197.89,120.923,-0.001,129.601,-359.17,0,0,0,520902,102,199080,37235,224570,32,0,0,185
无报警,555.719,0,-76.99,0.165,409.07,100,-7.335,401.61,90,0,0,0,741026,0,381383,26349,331218,30,0,0,155
无报警,-447.216,-563.8,1896669.5,13.12,-13.354,1896669.5,-447.204,-563.766,1896669.5,0,-0.566,539099.1,389139,1,144675,108,118556,150,50,500,155
无报警,-411.403,-164.723,-311.44,-2.168,23.496,-4,-15.895,-164.77,-93.73,1.555,5.993,0,723974,1,22859,69276,279169,30,100,2000,155
无报警,545.634,0,-77.21,0.165,409.1,100,0.165,409.1,90,0,0,0,741069,0,381390,26356,331221,30,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520945,0,199081,37235,224570,32,0,0,185
无报警,-448.336,-482.392,277753.03,12,62.667,277753.03,-448.324,-485.052,277753.03,0,29.333,0,389139,1,144675,108,118556,150,5000,499,155
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520946,0,199081,37235,224570,32,0,0,185
无报警,545.634,0,-77.21,0.165,409.1,100,0.165,409.1,90,0,0,0,741070,0,381390,26356,331221,30,0,0,165
无报警,-409.848,-158.726,-207.44,-0.586,29.596,100,-14.326,-158.722,10.27,0,0,0,723975,2,22860,69276,279170,9001,24000,57,155
无报警,545.634,0,-77.21,0.165,409.1,100,0.165,409.1,90,0,0,0,741070,0,381390,26356,331221,30,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520946,0,199081,37235,224570,32,0,0,185
无报警,-448.858,-412.558,277753.03,14,100,277753.03,-448.846,-412.551,277753.03,0,0,0,389140,1,144676,109,118556,150,0,0,155
无报警,-409.848,-158.726,0,-0.586,29.596,307.44,-14.326,-158.722,217.71,0,0,0,723975,2,22860,69276,279170,9001,0,0,155
无报警,545.634,0,-77.21,0.165,409.1,100,0.165,409.1,90,0,0,0,741070,0,381390,26356,331221,30,0,0,165
无报警,-470.773,-15.49,-265.768,-70.695,182.4,218.79,-80,124.5,-261.303,0,0,0,520946,0,199081,37235,224570,32,0,0,185
无报警,-448.858,-412.558,1896669.5,14,100,1896669.5,-448.846,-412.551,1896669.5,0,0,0,389140,1,144676,109,118556,150,0,0,155
无报警,-595.267,-4.5,18,-109.667,231.2,503.47,-109.394,231.235,493.47,0,0,0,945786,0,358836,56393,320783,9001,0,0,155
无报警,-595.267,-4.5,18,-109.667,231.2,503.47,-109.394,231.235,493.47,0,0,0,945786,0,358836,56393,320783,9001,0,0,155
无报警,504.226,-266.99,-347.24,0,0,-185.78,0,0,-195.78,0,0,0,741413,0,381415,26400,331229,9001,0,0,155
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806041,0,300594,30592,326009,1,0,0,155
无报警,504.226,-266.99,-344.54,0,0,10,0,0,0,0,0,0,741413,0,381415,26400,331229,9001,0,0,155
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806041,0,300594,30592,326009,30,0,0,155
无报警,-409.212,-188.295,-259.1,0,0,46,0,0,36,0,0,0,724319,0,23058,69300,279357,9001,0,0,185
无报警,-595.267,-4.5,18,-109.667,231.2,503.47,-109.394,231.235,493.47,0,0,0,945787,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535415,84,105453,22130,235347,31,0,0,155
无报警,504.226,-266.99,-344.54,0,0,10,0,0,0,0,0,0,741413,0,381415,26400,331229,9001,0,0,155
无报警,-409.212,-188.295,-259.1,0,0,46,0,0,36,0,0,0,724319,0,23058,69300,279357,9001,0,0,185
无报警,369.08,-259.687,-256.033,-11.9,121.733,154.367,-11.9,121.733,142.667,0,0,0,806041,0,300594,30592,326009,30,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945804,0,358836,56393,320783,9001,0,0,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,599.747,-463.378,-410.3,220.072,-83.057,0.1,219.429,-82.496,-11.6,-15.087,4.942,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535432,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945804,0,358836,56393,320783,9001,0,0,155
无报警,526.738,-457.919,-410.3,147.465,-76.499,0.1,146.611,-76.499,-11.6,-348.758,0,0,806058,7,300602,30592,326016,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535433,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945804,0,358836,56393,320783,9001,0,0,155
无报警,451.645,-457.919,-410.3,72.371,-76.499,0.1,71.518,-76.499,-11.6,-272.811,0,0,806058,8,300602,30592,326017,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535433,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945804,0,358836,56393,320783,9001,0,0,155
无报警,378.258,-457.919,-410.3,-1.015,-76.499,0.1,-1.869,-76.499,-11.6,-200.278,0,0,806058,8,300602,30592,326017,100,1600,4499,155
无报警,-335.365,0,-213.4,85.5,252.19,151.49,85.5,252.19,140.99,0,0,0,535433,84,105453,22130,235347,31,0,0,155
无报警,-472.9,-290.4,-393.87,12.1,-58,82.63,12.1,-58,72.53,0,0,0,945804,0,358836,56393,320783,9001,0,0,155
无报警,305.725,-457.919,-410.3,-74.402,-76.499,0.1,-74.402,-76.499,-11.6,-126.891,0,0,806058,8,300602,30592,326017,100,1600,4499,155
无报警,-367.019,-460.898,-478.45,116.221,-224.998,0,117.021,-224.998,-11.35,176.379,0,0,946263,17,359037,56394,320974,30,1500,3000,155
无报警,-433.634,-15.88,-367.464,-42.601,150.645,94.288,-52,145.64,5.05,0,0,0,521480,0,199084,37237,224572,1,0,0,175
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806519,50,300966,30596,326351,30,0,0,155
无报警,641.57,-281.4,-523.537,131.731,25.95,-1.857,339.14,-15.495,-502.896,-3.631,0,0,741831,45,381674,26419,331458,30,921,5000,155
无报警,-447.155,-180.567,-373.4,-22.599,69.999,0,-22.599,69.999,-10,199.566,0,0,535790,7,105570,22131,235457,31,1000,3001,155
无报警,-418.702,0,-184.5,-9.5,188.33,108.26,0.002,0.002,0.005,0,0,0,724735,3,23213,69344,279463,31,0,0,175
无报警,-433.634,-15.88,-367.464,-42.601,150.645,94.288,-52,145.64,5.05,0,0,0,521480,0,199084,37237,224572,1,0,0,175
无报警,-298.219,-460.898,-478.45,185.021,-224.998,0,185.821,-224.998,-11.35,107.579,0,0,946263,17,359037,56394,320974,30,1500,3000,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806519,50,300966,30596,326351,30,0,0,155
无报警,-406.088,-180.567,-373.4,18.468,69.999,0,19.001,69.999,-10,157.966,0,0,535790,7,105570,22131,235457,31,1000,3001,155
无报警,604.316,-281.4,-523.537,94.476,25.95,-1.857,301.886,-15.495,-502.896,-46.376,0,0,741831,45,381674,26419,331458,30,1000,5000,155
无报警,-311.489,-330.388,-332.805,113.6,-78.649,-0.375,113.6,-78.649,30.595,0,-4.178,0,535796,8,105571,22131,235457,31,2190,4500,155
无报警,-139.84,0,-378.45,345,235.9,100,345,235.9,88.65,0,0,0,946269,20,359040,56395,320977,30,0,0,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806525,50,300966,30596,326351,30,0,0,155
无报警,-395.349,-340.666,-332.805,30.913,-90.1,-0.375,29.74,-90.1,30.595,-136.066,0,0,535796,8,105571,22131,235457,31,2200,4500,155
无报警,-139.84,0,-378.45,345,235.9,100,345,235.9,88.65,0,0,0,946269,20,359040,56395,320977,30,0,0,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806525,50,300966,30596,326351,30,0,0,155
无报警,-486.869,-340.666,-332.805,-60.607,-90.1,-0.375,-61.78,-90.1,30.595,-45.72,0,0,535796,8,105571,22131,235457,31,2200,4500,155
无报警,-139.84,0,-378.45,345,235.9,100,345,235.9,88.65,0,0,0,946269,20,359040,56395,320977,30,0,0,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806525,50,300966,30596,326351,30,0,0,155
无报警,-538.689,-297.174,-332.805,-113.6,-47.781,-0.375,-113.6,-46.608,30.595,0,135.435,0,535796,8,105571,22131,235458,31,2200,4500,155
无报警,-139.84,0,-378.45,345,235.9,100,345,235.9,88.65,0,0,0,946269,20,359040,56395,320977,30,0,0,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806525,50,300966,30596,326351,30,0,0,155
无报警,-538.689,-205.654,-332.805,-113.6,43.739,-0.375,-113.6,43.739,30.595,0,45.088,0,535796,8,105571,22131,235458,31,2200,4500,155
无报警,-139.84,0,-378.45,345,235.9,100,345,235.9,88.65,0,0,0,946269,20,359040,56395,320977,30,0,0,155
无报警,416.25,0,-247.82,37.75,381.42,162.58,-95.75,161.308,57.686,0,0,0,806526,50,300966,30596,326351,30,0,0,155
无报警,-396.314,-188.932,-319.837,12.842,-0.705,-12.396,12.895,-0.711,-22.396,0.088,-0.011,-0.001,723691,9,22678,69254,278994,30,100,5002,155
无报警,0,0,1896669.5,-150,0,1896669.5,0.012,0.009,1896669.5,0,0,0,388869,0,144633,85,118524,86,0,0,155
无报警,-548.636,-210.05,-189.896,-129.05,40.45,128.304,-164.248,-210.05,26.305,0,0,0,534616,11,105280,22111,235191,30,0,0,255
无报警,246.101,-308.7,-536.47,-267.555,0,0.3,-500.847,-308.694,-134.32,-32.678,0,0,740613,0,381317,26327,331173,30,1000,3001,155
无报警,-308.681,0,-353.378,95.46,201.07,126.16,124.845,201.073,115.76,0,0,0,520490,62,198819,37232,224314,30,0,0,175
无报警,-589.323,0,-397.83,-100.95,235.735,82.58,-12.517,42.941,65.162,0,0,0,944852,52,358614,56390,320585,30,0,0,165
无报警,223.352,-480.12,-337.717,-132.63,-131.112,64.983,-133.631,-130.5,54.583,-3.19,2.772,0,805186,8,300174,30584,325620,30,2200,4499,155
无报警,-396.332,-188.93,-319.887,12.824,-0.703,-12.446,12.877,-0.709,-22.446,0.106,-0.013,-0.001,723691,9,22678,69254,278994,30,100,5001,155
无报警,0,0,0,-150,0,0,0.012,0.009,0,0,0,0,388869,0,144633,85,118524,86,0,0,155
无报警,-548.636,-210.05,-189.896,-129.05,40.45,128.304,-164.248,-210.05,26.305,0,0,0,534616,11,105280,22111,235191,30,0,0,255
无报警,-308.681,0,-353.378,95.46,201.07,126.16,124.845,201.073,115.76,0,0,0,520490,62,198819,37232,224314,30,0,0,175
无报警,224.179,-308.7,-536.77,-290.545,0,0,-523.837,-308.694,-134.62,48.178,0,0,740613,0,381317,26327,331173,30,1000,3001,155
无报警,-395.535,-188.364,-320.099,13.714,-0.104,-12.659,-0.014,-188.361,-102.388,-0.085,0.344,-0.004,724108,7,22959,69287,279265,30,100,5001,155
无报警,-216.6,0,-402.89,269,235.7,82.58,269.273,235.735,72.58,0,0,0,945576,99,358836,56393,320783,30,0,0,155
无报警,-445.336,-562.141,539099.1,15,-11.685,539099.1,-445.324,-562.139,539099.1,0,-1.137,0,389255,0,144726,29,118595,144,120,599,155
无报警,-397.007,-156.874,-4.458,3.071,41.016,480.1,0,0,460.579,0,0,0,521077,0,199081,37235,224570,1,0,0,175
无报警,-423.339,0,-17.906,-60.103,188.36,340.374,0,202.801,0,0,0,0,535205,0,105352,22128,235256,30,0,0,175
无报警,414.813,-260.84,-171.5,62.33,-7,97.16,62.33,-7,87.16,0,0,-36.07,805830,2,300566,30590,325986,30,0,4999,255
无报警,552.936,0,-231.22,0.209,409.08,-52.8,0.309,409.18,-62.8,0,0,0,741203,0,381402,26372,331226,30,0,0,155
无报警,-395.539,-188.381,-320.149,13.697,-0.173,-12.708,-0.031,-188.43,-102.438,-0.081,0.362,-0.004,724109,7,22959,69287,279265,30,100,5001,155
无报警,-216.6,0,-402.89,269,235.7,82.58,269.273,235.735,72.58,0,0,0,945576,99,358836,56393,320783,30,0,0,155
无报警,-444.472,-550.342,0,15.8,0.05,0,-444.524,-550.34,0,0.336,0,0,389255,0,144726,29,118595,144,120,600,155
无报警,-397.007,-156.874,-4.458,3.071,41.016,480.1,0,0,460.579,0,0,0,521077,0,199081,37235,224570,1,0,0,175
无报警,-423.339,0,-17.906,-60.103,188.36,340.374,0,202.801,0,0,0,0,535205,0,105352,22128,235256,30,0,0,175
无报警,414.813,-260.84,-171.5,62.33,-7,97.16,62.33,-7,87.16,0,0,-36.07,805830,2,300566,30590,325986,30,0,4999,255
无报警,552.936,0,-231.22,0.209,409.08,-52.8,0.309,409.18,-62.8,0,0,0,741203,0,381402,26372,331226,30,0,0,155
